lambda_eff,pacing,L_succ,S_ex_mean,n,n_success
0.0,Baseline,,0.0,800,0
0.5,Baseline,,0.0,800,0
1.0,Baseline,,0.0,800,0
2.0,Baseline,,0.0,800,0
0.0,Phase-bounded,2.2201990966122964,0.99625,800,797
0.5,Phase-bounded,2.2300138770388958,0.99625,800,797
1.0,Phase-bounded,2.237163366834171,0.995,800,796
2.0,Phase-bounded,2.2483320125786164,0.99375,800,795
0.0,Stochastic,3.942979434673367,0.995,800,796
0.5,Stochastic,3.9573452763819095,0.995,800,796
1.0,Stochastic,3.967258549810845,0.99125,800,793
2.0,Stochastic,3.986651750629723,0.9925,800,794
