lambda_eff,sf,pacing,L_succ,S_ex_mean,n,n_success
1,7,Phase-bounded,2.227391629072682,0.9975,800,798
1,9,Phase-bounded,5.350653200000002,1.0,800,800
1,12,Phase-bounded,46.89099887170915,0.9970833333333333,2400,2393
1,7,Stochastic,3.4851632786885247,0.99125,800,793
1,9,Stochastic,8.4026243,1.0,800,800
1,12,Stochastic,61.8018970784641,0.9983333333333333,2400,2396
2,7,Phase-bounded,2.234348327044025,0.99375,800,795
2,9,Phase-bounded,5.458842437500001,1.0,800,800
2,12,Phase-bounded,52.90351751388295,0.9754166666666667,2400,2341
2,7,Stochastic,3.5019329937106916,0.99375,800,795
2,9,Stochastic,8.4793480625,1.0,800,800
2,12,Stochastic,66.40475956540264,0.9779166666666667,2400,2347
